"cohort","outcome","outcome_role","exposure_type","contrast","model","beta","ci_low","ci_high","p_value","p_fdr","p_trend","n","n_model_unweighted","n_missing_dropped","weighted_population_estimate","covariates_requested","covariates_used","covariates_missing","uic_adjusted","note"
"discovery","TT4","primary","log_UACR","LOG_UACR","Model 1",0.148362387274408,0.106577562861563,0.190147211687252,8.49121524079135e-09,6.79297219263308e-08,,6487,6487,0,154212619.756667,"","","",FALSE,"Discovery cohort used cycle-specific thyroid analysis weights: WTMEC2YR for 2007-2008 and WTSA2YR for 2009-2012, divided by 3 for 6-year pooled analysis."
"discovery","TT4","primary","log_UACR","LOG_UACR","Model 2",0.109580402746687,0.0639255267828786,0.155235278710496,2.76337497837587e-05,0.000221069998270069,,6487,6487,0,154212619.756667,"AGE_YEARS + SEX + RACE_ETHNICITY","AGE_YEARS + SEX + RACE_ETHNICITY","",FALSE,"Discovery cohort used cycle-specific thyroid analysis weights: WTMEC2YR for 2007-2008 and WTSA2YR for 2009-2012, divided by 3 for 6-year pooled analysis."
"discovery","TT4","primary","log_UACR","LOG_UACR","Model 3",0.0767732150412691,0.0348587133445976,0.118687716737941,0.00124630233501232,0.00997041868009854,,6487,6487,0,154212619.756667,"AGE_YEARS + SEX + RACE_ETHNICITY + EDUCATION + PIR + BMI + SMOKING_STATUS + ALCOHOL_STATUS + DIABETES_STATUS + HYPERTENSION_STATUS + EGFR_CKD_EPI_2021 + UIC_UG_L","AGE_YEARS + SEX + RACE_ETHNICITY + EDUCATION + PIR + BMI + SMOKING_STATUS + ALCOHOL_STATUS + DIABETES_STATUS + HYPERTENSION_STATUS + EGFR_CKD_EPI_2021 + UIC_UG_L","",TRUE,"Discovery cohort used cycle-specific thyroid analysis weights: WTMEC2YR for 2007-2008 and WTSA2YR for 2009-2012, divided by 3 for 6-year pooled analysis."
"discovery","TT4","primary","UACR quartile","UACR_QUARTILEQ2","Model 1",0.112904313394416,-0.0684501046360907,0.294258731424922,0.228599907808253,0.304799877077671,1.38925471327746e-06,6487,6487,0,154212619.756667,"","","",FALSE,"Discovery cohort used cycle-specific thyroid analysis weights: WTMEC2YR for 2007-2008 and WTSA2YR for 2009-2012, divided by 3 for 6-year pooled analysis."
"discovery","TT4","primary","UACR quartile","UACR_QUARTILEQ3","Model 1",0.195868216704212,0.0602030048271597,0.331533428581264,0.00688197281472403,0.0228768390258825,1.38925471327746e-06,6487,6487,0,154212619.756667,"","","",FALSE,"Discovery cohort used cycle-specific thyroid analysis weights: WTMEC2YR for 2007-2008 and WTSA2YR for 2009-2012, divided by 3 for 6-year pooled analysis."
"discovery","TT4","primary","UACR quartile","UACR_QUARTILEQ4","Model 1",0.325603606128586,0.196429773663498,0.454777438593674,1.07301669199371e-05,4.29206676797485e-05,1.38925471327746e-06,6487,6487,0,154212619.756667,"","","",FALSE,"Discovery cohort used cycle-specific thyroid analysis weights: WTMEC2YR for 2007-2008 and WTSA2YR for 2009-2012, divided by 3 for 6-year pooled analysis."
"discovery","TT4","primary","UACR quartile","UACR_QUARTILEQ2","Model 2",0.0136406815085143,-0.156032091940507,0.183313454957535,0.875586549959158,0.938414790940411,0.00815142384648644,6487,6487,0,154212619.756667,"AGE_YEARS + SEX + RACE_ETHNICITY","AGE_YEARS + SEX + RACE_ETHNICITY","",FALSE,"Discovery cohort used cycle-specific thyroid analysis weights: WTMEC2YR for 2007-2008 and WTSA2YR for 2009-2012, divided by 3 for 6-year pooled analysis."
"discovery","TT4","primary","UACR quartile","UACR_QUARTILEQ3","Model 2",0.0777868422365028,-0.0559606248037448,0.21153430927675,0.26109720721912,0.522194414438241,0.00815142384648644,6487,6487,0,154212619.756667,"AGE_YEARS + SEX + RACE_ETHNICITY","AGE_YEARS + SEX + RACE_ETHNICITY","",FALSE,"Discovery cohort used cycle-specific thyroid analysis weights: WTMEC2YR for 2007-2008 and WTSA2YR for 2009-2012, divided by 3 for 6-year pooled analysis."
"discovery","TT4","primary","UACR quartile","UACR_QUARTILEQ4","Model 2",0.187735113586757,0.0481456491567638,0.32732457801675,0.0118815923572786,0.0950527388582288,0.00815142384648644,6487,6487,0,154212619.756667,"AGE_YEARS + SEX + RACE_ETHNICITY","AGE_YEARS + SEX + RACE_ETHNICITY","",FALSE,"Discovery cohort used cycle-specific thyroid analysis weights: WTMEC2YR for 2007-2008 and WTSA2YR for 2009-2012, divided by 3 for 6-year pooled analysis."
"discovery","TT4","primary","UACR quartile","UACR_QUARTILEQ2","Model 3",0.0235178591769748,-0.158878194021041,0.205913912374991,0.802472476503319,0.982404829941614,0.0502018872054407,6487,6487,0,154212619.756667,"AGE_YEARS + SEX + RACE_ETHNICITY + EDUCATION + PIR + BMI + SMOKING_STATUS + ALCOHOL_STATUS + DIABETES_STATUS + HYPERTENSION_STATUS + EGFR_CKD_EPI_2021 + UIC_UG_L","AGE_YEARS + SEX + RACE_ETHNICITY + EDUCATION + PIR + BMI + SMOKING_STATUS + ALCOHOL_STATUS + DIABETES_STATUS + HYPERTENSION_STATUS + EGFR_CKD_EPI_2021 + UIC_UG_L","",TRUE,"Discovery cohort used cycle-specific thyroid analysis weights: WTMEC2YR for 2007-2008 and WTSA2YR for 2009-2012, divided by 3 for 6-year pooled analysis."
