"uacr_mg_g","log_uacr","predicted_tt4","se","ci_low","ci_high","p_overall","p_nonlinearity","n_model"
1.86,0.62057648772511,7.2622909070234,0.111793586754776,7.04317547698404,7.48140633706276,0.0046288706909146,0.518322406828688,6487
1.89734748310273,0.640456849245705,7.26515579749291,0.111793586754776,7.04604036745355,7.48427122753227,0.0046288706909146,0.518322406828688,6487
1.9354448772238,0.6603372107663,7.26802068796242,0.111793586754776,7.04890525792306,7.48713611800178,0.0046288706909146,0.518322406828688,6487
1.97430724004551,0.680217572286896,7.27088557843194,0.111793586754776,7.05177014839257,7.4900010084713,0.0046288706909146,0.518322406828688,6487
2.01394993159776,0.700097933807491,7.27375046890145,0.111793586754776,7.05463503886209,7.49286589894081,0.0046288706909146,0.518322406828688,6487
2.05438862032899,0.719978295328086,7.27661535937096,0.111793586754776,7.0574999293316,7.49573078941032,0.0046288706909146,0.518322406828688,6487
2.09563928929898,0.739858656848681,7.27948024984047,0.111793586754776,7.06036481980111,7.49859567987983,0.0046288706909146,0.518322406828688,6487
2.13771824249603,0.759739018369277,7.28234514030999,0.111793586754776,7.06322971027063,7.50146057034935,0.0046288706909146,0.518322406828688,6487
2.18064211128098,0.779619379889872,7.2852100307795,0.111793586754776,7.06609460074014,7.50432546081886,0.0046288706909146,0.518322406828688,6487
2.22442786096064,0.799499741410467,7.28807492124901,0.111793586754776,7.06895949120965,7.50719035128837,0.0046288706909146,0.518322406828688,6487
2.26909279749315,0.819380102931062,7.29093981171852,0.111793586754776,7.07182438167916,7.51005524175789,0.0046288706909146,0.518322406828688,6487
2.31465457432804,0.839260464451658,7.29380470218804,0.111793586754776,7.07468927214868,7.5129201322274,0.0046288706909146,0.518322406828688,6487
2.36113119938362,0.859140825972253,7.29666959265755,0.111793586754776,7.07755416261819,7.51578502269691,0.0046288706909146,0.518322406828688,6487
2.40854104216443,0.879021187492848,7.29953448312706,0.111793586754776,7.0804190530877,7.51864991316642,0.0046288706909146,0.518322406828688,6487
2.45690284102167,0.898901549013443,7.30239937359658,0.111793586754776,7.08328394355721,7.52151480363594,0.0046288706909146,0.518322406828688,6487
2.50623571055936,0.918781910534039,7.30526426406609,0.111793586754776,7.08614883402673,7.52437969410545,0.0046288706909146,0.518322406828688,6487
2.55655914918924,0.938662272054634,7.3081291545356,0.111793586754776,7.08901372449624,7.52724458457496,0.0046288706909146,0.518322406828688,6487
2.60789304683734,0.958542633575229,7.31099404500511,0.111793586754776,7.09187861496575,7.53010947504447,0.0046288706909146,0.518322406828688,6487
2.66025769280534,0.978422995095824,7.31385893547463,0.111793586754776,7.09474350543526,7.53297436551399,0.0046288706909146,0.518322406828688,6487
2.71367378378973,0.99830335661642,7.31672382594414,0.111793586754776,7.09760839590478,7.5358392559835,0.0046288706909146,0.518322406828688,6487
2.76816243206199,1.01818371813701,7.31958871641365,0.111793586754776,7.10047328637429,7.53870414645301,0.0046288706909146,0.518322406828688,6487
2.82374517381309,1.03806407965761,7.32245313543958,0.111793586754776,7.10333770540022,7.54156856547894,0.0046288706909146,0.518322406828688,6487
2.88044397766545,1.05794444117821,7.32531448970074,0.111793586754776,7.10619905966137,7.5444299197401,0.0046288706909146,0.518322406828688,6487
2.93828125335589,1.0778248026988,7.32816958917282,0.111793586754776,7.10905415913346,7.54728501921218,0.0046288706909146,0.518322406828688,6487
2.99727986059287,1.0977051642194,7.33101524379932,0.111793586754776,7.11189981375995,7.55013067383868,0.0046288706909146,0.518322406828688,6487
3.0574631180916,1.11758552573999,7.33384826352368,0.111793586754776,7.11473283348432,7.55296369356304,0.0046288706909146,0.518322406828688,6487
3.1188548127906,1.13746588726059,7.33666545828939,0.111793586754776,7.11755002825003,7.55578088832875,0.0046288706909146,0.518322406828688,6487
3.18147920925327,1.15734624878118,7.33946363803991,0.111793586754776,7.12034820800055,7.55857906807927,0.0046288706909146,0.518322406828688,6487
3.24536105925825,1.17722661030178,7.34223961271872,0.111793586754776,7.12312418267935,7.56135504275808,0.0046288706909146,0.518322406828688,6487
3.31052561158239,1.19710697182237,7.34499019226928,0.111793586754776,7.12587476222992,7.56410562230864,0.0046288706909146,0.518322406828688,6487
3.3769986219801,1.21698733334297,7.34771218663506,0.111793586754776,7.1285967565957,7.56682761667442,0.0046288706909146,0.518322406828688,6487
3.44480636336307,1.23686769486356,7.35040240575954,0.111793586754776,7.13128697572018,7.5695178357989,0.0046288706909146,0.518322406828688,6487
3.51397563618451,1.25674805638416,7.35305765958619,0.111793586754776,7.13394222954683,7.57217308962555,0.0046288706909146,0.518322406828688,6487
3.58453377903172,1.27662841790475,7.35567475805847,0.111793586754776,7.13655932801911,7.57479018809783,0.0046288706909146,0.518322406828688,6487
3.65650867943148,1.29650877942535,7.35825051111985,0.111793586754776,7.13913508108049,7.57736594115922,0.0046288706909146,0.518322406828688,6487
3.72992878487236,1.31638914094594,7.36078172871382,0.111793586754776,7.14166629867446,7.57989715875318,0.0046288706909146,0.518322406828688,6487
3.80482311404839,1.33626950246654,7.36326522078382,0.111793586754776,7.14414979074446,7.58238065082319,0.0046288706909146,0.518322406828688,6487
3.88122126832839,1.35614986398713,7.36569779727335,0.111793586754776,7.14658236723399,7.58481322731271,0.0046288706909146,0.518322406828688,6487
3.95915344345572,1.37603022550773,7.36807626812586,0.111793586754776,7.1489608380865,7.58719169816522,0.0046288706909146,0.518322406828688,6487
4.03865044148291,1.39591058702832,7.37039744328483,0.111793586754776,7.15128201324547,7.58951287332419,0.0046288706909146,0.518322406828688,6487
4.11974368294588,1.41579094854892,7.37265813269372,0.111793586754776,7.15354270265436,7.59177356273308,0.0046288706909146,0.518322406828688,6487
4.20246521928265,1.43567131006952,7.37485514629601,0.111793586754776,7.15573971625665,7.59397057633538,0.0046288706909146,0.518322406828688,6487
4.28684774550145,1.45555167159011,7.37698529403518,0.111793586754776,7.15786986399581,7.59610072407454,0.0046288706909146,0.518322406828688,6487
4.37292461310311,1.47543203311071,7.37904538585467,0.111793586754776,7.15992995581531,7.59816081589403,0.0046288706909146,0.518322406828688,6487
4.46072984326299,1.4953123946313,7.38103223169798,0.111793586754776,7.16191680165862,7.60014766173734,0.0046288706909146,0.518322406828688,6487
4.55029814027756,1.5151927561519,7.38294264150856,0.111793586754776,7.1638272114692,7.60205807154792,0.0046288706909146,0.518322406828688,6487
4.641664905281,1.53507311767249,7.38477342522989,0.111793586754776,7.16565799519053,7.60388885526925,0.0046288706909146,0.518322406828688,6487
4.73486625023719,1.55495347919309,7.38652139280544,0.111793586754776,7.16740596276608,7.60563682284481,0.0046288706909146,0.518322406828688,6487
4.82993901221268,1.57483384071368,7.38818335417868,0.111793586754776,7.16906792413932,7.60729878421804,0.0046288706909146,0.518322406828688,6487
4.92692076793625,1.59471420223428,7.38975611929308,0.111793586754776,7.17064068925372,7.60887154933244,0.0046288706909146,0.518322406828688,6487
5.02584984865075,1.61459456375487,7.39123649809211,0.111793586754776,7.17212106805275,7.61035192813147,0.0046288706909146,0.518322406828688,6487
5.1267653552633,1.63447492527547,7.39262130051924,0.111793586754776,7.17350587047988,7.6117367305586,0.0046288706909146,0.518322406828688,6487
5.22970717379951,1.65435528679606,7.39390733651794,0.111793586754776,7.17479190647858,7.6130227665573,0.0046288706909146,0.518322406828688,6487
5.33471599116817,1.67423564831666,7.39509141603472,0.111793586754776,7.17597598599536,7.61420684607408,0.0046288706909146,0.518322406828688,6487
5.44183331124237,1.69411600983725,7.39617177549179,0.111793586754776,7.17705634545243,7.61528720553115,0.0046288706909146,0.518322406828688,6487
5.5511014712636,1.71399637135785,7.39715213837348,0.111793586754776,7.17803670833412,7.61626756841284,0.0046288706909146,0.518322406828688,6487
5.66256365857519,1.73387673287844,7.39803754730219,0.111793586754776,7.17892211726283,7.61715297734155,0.0046288706909146,0.518322406828688,6487
5.77626392769173,1.75375709439904,7.39883304490031,0.111793586754776,7.17971761486095,7.61794847493967,0.0046288706909146,0.518322406828688,6487
5.89224721771128,1.77363745591963,7.39954367379024,0.111793586754776,7.18042824375088,7.6186591038296,0.0046288706909146,0.518322406828688,6487
6.01055937007718,1.79351781744023,7.40017447659438,0.111793586754776,7.18105904655502,7.61928990663374,0.0046288706909146,0.518322406828688,6487
