"outcome","model","high_definition","joint_variable","group","reference_group","hr","ci_low","ci_high","p_value","p_fdr","n_model","events","group_n","group_events","covariates_used","covariates_dropped","note"
"all_cause_mortality","Model 3","TT4 highest quartile (Q4)","JOINT_Q4","UACR_lt30__TT4_non_high","UACR_lt30__TT4_non_high",1,1,1,,,6484,897,4150,412,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Reference group: UACR <30 mg/g with TT4 non-high group."
"all_cause_mortality","Model 3","TT4 highest quartile (Q4)","JOINT_Q4","UACR_ge30__TT4_non_high","UACR_lt30__TT4_non_high",2.68231093161451,2.06183731944941,3.48950514475118,1.96840218518347e-13,5.90520655555042e-13,6484,897,506,193,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Reference group: UACR <30 mg/g with TT4 non-high group."
"all_cause_mortality","Model 3","TT4 highest quartile (Q4)","JOINT_Q4","UACR_lt30__TT4_high","UACR_lt30__TT4_non_high",1.29049988031788,1.07083154834314,1.55523055300087,0.00738750509505097,0.00738750509505097,6484,897,1545,200,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Reference group: UACR <30 mg/g with TT4 non-high group."
"all_cause_mortality","Model 3","TT4 highest quartile (Q4)","JOINT_Q4","UACR_ge30__TT4_high","UACR_lt30__TT4_non_high",2.45722066817145,1.74532574077421,3.45948797466919,2.59115077128339e-07,3.88672615692509e-07,6484,897,283,92,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Reference group: UACR <30 mg/g with TT4 non-high group."
"all_cause_mortality","Model 3","TT4 highest tertile sensitivity","JOINT_T3","UACR_lt30__TT4_non_high","UACR_lt30__TT4_non_high",1,1,1,,,6484,897,3727,368,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Reference group: UACR <30 mg/g with TT4 non-high group."
"all_cause_mortality","Model 3","TT4 highest tertile sensitivity","JOINT_T3","UACR_ge30__TT4_non_high","UACR_lt30__TT4_non_high",2.59616681980406,2.06338413396174,3.26651835948279,3.91808430542177e-16,1.17542529162653e-15,6484,897,444,176,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Reference group: UACR <30 mg/g with TT4 non-high group."
"all_cause_mortality","Model 3","TT4 highest tertile sensitivity","JOINT_T3","UACR_lt30__TT4_high","UACR_lt30__TT4_non_high",1.2725155170575,0.983313762782911,1.64677420619975,0.0669396660813685,0.0669396660813685,6484,897,1968,244,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Reference group: UACR <30 mg/g with TT4 non-high group."
"all_cause_mortality","Model 3","TT4 highest tertile sensitivity","JOINT_T3","UACR_ge30__TT4_high","UACR_lt30__TT4_non_high",2.72960244844539,1.84078351659057,4.04758596511069,5.86100803698348e-07,8.79151205547521e-07,6484,897,345,109,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Reference group: UACR <30 mg/g with TT4 non-high group."
"cardiovascular_mortality","Model 1","TT4 highest quartile (Q4)","JOINT_Q4","UACR_lt30__TT4_non_high","UACR_lt30__TT4_non_high",1,1,1,,,6484,249,4150,114,"AGE + SEX + RACE","","Reference group: UACR <30 mg/g with TT4 non-high group."
"cardiovascular_mortality","Model 1","TT4 highest quartile (Q4)","JOINT_Q4","UACR_ge30__TT4_non_high","UACR_lt30__TT4_non_high",2.93716457464943,1.71884407744283,5.01903334443813,8.09958330343629e-05,0.000242987499103089,6484,249,506,57,"AGE + SEX + RACE","","Reference group: UACR <30 mg/g with TT4 non-high group."
"cardiovascular_mortality","Model 1","TT4 highest quartile (Q4)","JOINT_Q4","UACR_lt30__TT4_high","UACR_lt30__TT4_non_high",1.2461301773091,0.715755174218989,2.16951336816365,0.436660257158843,0.436660257158843,6484,249,1545,50,"AGE + SEX + RACE","","Reference group: UACR <30 mg/g with TT4 non-high group."
"cardiovascular_mortality","Model 1","TT4 highest quartile (Q4)","JOINT_Q4","UACR_ge30__TT4_high","UACR_lt30__TT4_non_high",2.75757248320364,1.3694665432332,5.55267745509794,0.0045047351882209,0.00675710278233135,6484,249,283,28,"AGE + SEX + RACE","","Reference group: UACR <30 mg/g with TT4 non-high group."
"cardiovascular_mortality","Model 1","TT4 highest tertile sensitivity","JOINT_T3","UACR_lt30__TT4_non_high","UACR_lt30__TT4_non_high",1,1,1,,,6484,249,3727,100,"AGE + SEX + RACE","","Reference group: UACR <30 mg/g with TT4 non-high group."
"cardiovascular_mortality","Model 1","TT4 highest tertile sensitivity","JOINT_T3","UACR_ge30__TT4_non_high","UACR_lt30__TT4_non_high",3.49540208537738,1.98382090135566,6.15873929451564,1.48841373309674e-05,4.46524119929022e-05,6484,249,444,52,"AGE + SEX + RACE","","Reference group: UACR <30 mg/g with TT4 non-high group."
