"analysis_type","scenario","filter","outcome","exposure","contrast","model","hr","ci_low","ci_high","p_value","p_fdr","n_model","events","direction","ph_term","ph_p_value","covariates_used","covariates_dropped","note"
"survey_weighted_cox","Exclude UACR >=300","UACR <300 mg/g","all_cause_mortality","LOG_UACR","LOG_UACR","Model 3",1.39407197011249,1.24579542674892,1.5599966223387,7.01783689061118e-09,7.01783689061118e-09,6353,833,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Survey-weighted Cox sensitivity analysis."
"survey_weighted_cox","Exclude UACR >=300","UACR <300 mg/g","all_cause_mortality","TT4","TT4","Model 3",1.06348400325266,0.998305541379956,1.1329179076888,0.0564630917510381,0.0564630917510381,6353,833,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Survey-weighted Cox sensitivity analysis."
"survey_weighted_cox","Exclude UACR >=300","UACR <300 mg/g","cardiovascular_mortality","LOG_UACR","LOG_UACR","Model 3",1.33751742502854,1.09608581554501,1.63212846739145,0.00419243761341298,0.00419243761341298,6353,230,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Survey-weighted Cox sensitivity analysis."
"survey_weighted_cox","Exclude UACR >=300","UACR <300 mg/g","cardiovascular_mortality","TT4","TT4","Model 3",1.11755159580257,0.97709657743621,1.27819664721158,0.10482884355153,0.10482884355153,6353,230,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Survey-weighted Cox sensitivity analysis."
"survey_weighted_cox","Euthyroid participants","TSH 0.45-4.50 and FT4 0.60-1.60","all_cause_mortality","LOG_UACR","LOG_UACR","Model 3",1.38830479929403,1.27829827839278,1.50777815187718,6.73303568384635e-15,6.73303568384635e-15,5931,788,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Survey-weighted Cox sensitivity analysis."
"survey_weighted_cox","Euthyroid participants","TSH 0.45-4.50 and FT4 0.60-1.60","all_cause_mortality","TT4","TT4","Model 3",1.07878195148042,1.02200264461404,1.13871574107266,0.00597856597287131,0.00597856597287131,5931,788,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Survey-weighted Cox sensitivity analysis."
"survey_weighted_cox","Euthyroid participants","TSH 0.45-4.50 and FT4 0.60-1.60","cardiovascular_mortality","LOG_UACR","LOG_UACR","Model 3",1.293881198874,1.12176426099397,1.49240675158986,0.000403601501818784,0.000403601501818784,5931,224,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Survey-weighted Cox sensitivity analysis."
"survey_weighted_cox","Euthyroid participants","TSH 0.45-4.50 and FT4 0.60-1.60","cardiovascular_mortality","TT4","TT4","Model 3",1.0919144278252,0.958986825327506,1.24326746333106,0.184281349752725,0.184281349752725,5931,224,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Survey-weighted Cox sensitivity analysis."
"survey_weighted_cox","TT4 per-SD increase","full analytic cohort","all_cause_mortality","TT4_PER_SD","TT4_PER_SD","Model 3",1.10341540317968,1.01427374408715,1.20039147130832,0.0220348114552889,0.0220348114552889,6484,897,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","TT4 effect reported per weighted-SD increase."
"survey_weighted_cox","UACR clinical category","full analytic cohort","all_cause_mortality","UACR_CLINICAL_CATEGORY","UACR_CLINICAL_CATEGORY30-300","Model 3",2.15136572188552,1.67986561038639,2.75520520253965,1.2820036018642e-09,1.2820036018642e-09,6484,897,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","UACR clinical category reference: <30 mg/g."
"survey_weighted_cox","UACR clinical category","full analytic cohort","all_cause_mortality","UACR_CLINICAL_CATEGORY","UACR_CLINICAL_CATEGORY>=300","Model 3",4.53489427323822,3.01556090297826,6.8197150484137,3.80580517080152e-13,7.61161034160303e-13,6484,897,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","UACR clinical category reference: <30 mg/g."
"survey_weighted_cox","TT4 per-SD increase","full analytic cohort","cardiovascular_mortality","TT4_PER_SD","TT4_PER_SD","Model 3",1.17255593150629,0.96546691581089,1.42406476078555,0.10837407057194,0.10837407057194,6484,249,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","TT4 effect reported per weighted-SD increase."
"survey_weighted_cox","UACR clinical category","full analytic cohort","cardiovascular_mortality","UACR_CLINICAL_CATEGORY","UACR_CLINICAL_CATEGORY30-300","Model 3",1.80722296049356,1.13314778680791,2.88228496490788,0.0129603632896994,0.0129603632896994,6484,249,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","UACR clinical category reference: <30 mg/g."
"survey_weighted_cox","UACR clinical category","full analytic cohort","cardiovascular_mortality","UACR_CLINICAL_CATEGORY","UACR_CLINICAL_CATEGORY>=300","Model 3",3.74084800189965,1.86475118504691,7.50445629718937,0.000203751498959796,0.000407502997919592,6484,249,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","UACR clinical category reference: <30 mg/g."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","all_cause_mortality","LOG_UACR","","Model 3 diagnostic",,,,,,6484,897,"","LOG_UACR",0.496603118334074,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","all_cause_mortality","LOG_UACR","","Model 3 diagnostic",,,,,,6484,897,"","AGE",0.00171516156706756,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","all_cause_mortality","LOG_UACR","","Model 3 diagnostic",,,,,,6484,897,"","SEX",0.540061185873816,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","all_cause_mortality","LOG_UACR","","Model 3 diagnostic",,,,,,6484,897,"","RACE",0.177663680260441,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","all_cause_mortality","LOG_UACR","","Model 3 diagnostic",,,,,,6484,897,"","EDUCATION",0.165309953501358,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","all_cause_mortality","LOG_UACR","","Model 3 diagnostic",,,,,,6484,897,"","PIR",0.0429335212697272,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","all_cause_mortality","LOG_UACR","","Model 3 diagnostic",,,,,,6484,897,"","BMI",0.0510467688353248,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","all_cause_mortality","LOG_UACR","","Model 3 diagnostic",,,,,,6484,897,"","SMOKE",0.274228272012361,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","all_cause_mortality","LOG_UACR","","Model 3 diagnostic",,,,,,6484,897,"","DRINK",0.276181145226363,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","all_cause_mortality","LOG_UACR","","Model 3 diagnostic",,,,,,6484,897,"","DIABETES",0.256419804496126,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","all_cause_mortality","LOG_UACR","","Model 3 diagnostic",,,,,,6484,897,"","HYPERTENSION",0.483563295979632,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","all_cause_mortality","LOG_UACR","","Model 3 diagnostic",,,,,,6484,897,"","EGFR",0.155084894972567,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","all_cause_mortality","LOG_UACR","","Model 3 diagnostic",,,,,,6484,897,"","UIC_UG_L",0.815489481693771,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","all_cause_mortality","LOG_UACR","","Model 3 diagnostic",,,,,,6484,897,"","GLOBAL",0.0526966732908802,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","all_cause_mortality","TT4","","Model 3 diagnostic",,,,,,6484,897,"","TT4",0.907340577264366,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","all_cause_mortality","TT4","","Model 3 diagnostic",,,,,,6484,897,"","AGE",0.00443599396216907,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","all_cause_mortality","TT4","","Model 3 diagnostic",,,,,,6484,897,"","SEX",0.700367133412031,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","all_cause_mortality","TT4","","Model 3 diagnostic",,,,,,6484,897,"","RACE",0.207837815017329,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","all_cause_mortality","TT4","","Model 3 diagnostic",,,,,,6484,897,"","EDUCATION",0.179480054809194,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","all_cause_mortality","TT4","","Model 3 diagnostic",,,,,,6484,897,"","PIR",0.0450716405304751,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","all_cause_mortality","TT4","","Model 3 diagnostic",,,,,,6484,897,"","BMI",0.0351106384048755,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","all_cause_mortality","TT4","","Model 3 diagnostic",,,,,,6484,897,"","SMOKE",0.392716503683134,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","all_cause_mortality","TT4","","Model 3 diagnostic",,,,,,6484,897,"","DRINK",0.199375756772817,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","all_cause_mortality","TT4","","Model 3 diagnostic",,,,,,6484,897,"","DIABETES",0.27287708167045,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","all_cause_mortality","TT4","","Model 3 diagnostic",,,,,,6484,897,"","HYPERTENSION",0.672432221766058,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","all_cause_mortality","TT4","","Model 3 diagnostic",,,,,,6484,897,"","EGFR",0.398876730962308,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","all_cause_mortality","TT4","","Model 3 diagnostic",,,,,,6484,897,"","UIC_UG_L",0.82870757440975,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","all_cause_mortality","TT4","","Model 3 diagnostic",,,,,,6484,897,"","GLOBAL",0.0643948559048158,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","cardiovascular_mortality","LOG_UACR","","Model 3 diagnostic",,,,,,6484,249,"","LOG_UACR",0.237573854196453,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","cardiovascular_mortality","LOG_UACR","","Model 3 diagnostic",,,,,,6484,249,"","AGE",0.0381712769022792,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","cardiovascular_mortality","LOG_UACR","","Model 3 diagnostic",,,,,,6484,249,"","SEX",0.65677530576092,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","cardiovascular_mortality","LOG_UACR","","Model 3 diagnostic",,,,,,6484,249,"","RACE",0.486552982004589,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
"ph_diagnostic_unweighted","PH assumption diagnostic","unweighted coxph diagnostic","cardiovascular_mortality","LOG_UACR","","Model 3 diagnostic",,,,,,6484,249,"","EDUCATION",0.148816366197656,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Diagnostic PH check uses unweighted coxph because direct survey-weighted cox.zph support is unavailable."
