"analysis_id","direction","exposure_trait","outcome_trait","exposure_gwas_id","outcome_gwas_id","method","nsnp","beta","se","ci_low","ci_high","p_value","p_fdr","status","note","trait_pair","direction_label","instrument_label"
"forward_uacr_tsh","kidney_to_thyroid","UACR","TSH","ieu-a-1107","prot-a-530","IVW",1,-0.126229508196721,0.539344262295082,-1.18334426229508,0.930885245901639,0.814951943236324,0.814951943236324,"complete","Single-SNP IVW estimate; numerically equivalent to the Wald ratio.","UACR to TSH","Kidney-related trait to thyroid proxy","Single SNP"
"forward_albuminuria_tsh","kidney_to_thyroid","albuminuria","TSH","ieu-a-1097","prot-a-530","IVW",1,-0.18,0.170434782608696,-0.514052173913043,0.154052173913043,0.290912275379748,0.436368413069623,"complete","Single-SNP IVW estimate; numerically equivalent to the Wald ratio.","albuminuria to TSH","Kidney-related trait to thyroid proxy","Single SNP"
"forward_egfr_tsh","kidney_to_thyroid","eGFR","TSH","ebi-a-GCST90103634","prot-a-530","IVW",337,-0.885369491805764,0.516513957345189,-1.89773684820233,0.126997864590807,0.0865057696317516,0.259517308895255,"complete","Multi-SNP inverse-variance weighted estimate.","eGFR to TSH","Kidney-related trait to thyroid proxy","Multi-SNP"
"reverse_tsh_uacr","thyroid_to_kidney","TSH","UACR","prot-a-530","ieu-a-1107","IVW",1,-0.0512265512265512,0.0476190476190476,-0.144559884559885,0.0421067821067821,0.282035690252524,0.436368413069623,"complete","Single-SNP IVW estimate; numerically equivalent to the Wald ratio.","TSH to UACR","Thyroid proxy to kidney-related trait","Single SNP"
"reverse_tsh_albuminuria","thyroid_to_kidney","TSH","albuminuria","prot-a-530","ieu-a-1097","IVW",1,-0.0591630591630592,0.151515151515152,-0.356132756132756,0.237806637806638,0.696184458032407,0.814951943236324,"complete","Single-SNP IVW estimate; numerically equivalent to the Wald ratio.","TSH to albuminuria","Thyroid proxy to kidney-related trait","Single SNP"
"reverse_tsh_egfr","thyroid_to_kidney","TSH","eGFR","prot-a-530","ebi-a-GCST90103634","IVW",1,-0.00793650793650794,0.00216450216450216,-0.0121789321789322,-0.0036940836940837,0.000245732779930303,0.00147439667958182,"complete","Single-SNP IVW estimate; numerically equivalent to the Wald ratio.","TSH to eGFR","Thyroid proxy to kidney-related trait","Single SNP"
