"outcome","exposure","contrast","model","beta_log_hr","hr","ci_low","ci_high","p_value","p_fdr","n_model","events","weighted_population_estimate","note"
"cardiovascular_mortality","LOG_UACR","LOG_UACR","H1",0.384371397908873,1.46869080909684,1.27777948598041,1.68812593752863,6.29277521515009e-08,6.29277521515009e-08,6484,249,154160360.218869,"Survey-weighted Cox proportional hazards model."
"cardiovascular_mortality","LOG_UACR","LOG_UACR","Full",0.285789204597814,1.33081189665411,1.16063367240141,1.52594254879035,4.2408586238548e-05,4.2408586238548e-05,6484,249,154160360.218869,"Survey-weighted Cox proportional hazards model."
"cardiovascular_mortality","TT4","TT4","H1",0.160032523724302,1.17354903855652,1.03720413826185,1.327817056539,0.0110944382220664,0.0110944382220664,6484,249,154160360.218869,"Survey-weighted Cox proportional hazards model."
"cardiovascular_mortality","TT4","TT4","Full",0.10244899544044,1.10788079349681,0.977636217352225,1.25547706888697,0.108374070571937,0.108374070571937,6484,249,154160360.218869,"Survey-weighted Cox proportional hazards model."
"cardiovascular_mortality","JOINT_CATEGORY","JOINT_CATEGORYUACR_lt30__T2","H1",0.36801171076091,1.44485895927263,0.828429022553827,2.51997136188542,0.194714654497447,0.194714654497447,6484,249,154160360.218869,"Joint category reference: UACR <30 mg/g and TT4 tertile T1."
"cardiovascular_mortality","JOINT_CATEGORY","JOINT_CATEGORYUACR_lt30__T3","H1",0.761905829330272,2.14235529581009,0.94901715833754,4.83625208792389,0.0666485526973162,0.0761697745112185,6484,249,154160360.218869,"Joint category reference: UACR <30 mg/g and TT4 tertile T1."
"cardiovascular_mortality","JOINT_CATEGORY","JOINT_CATEGORYUACR_30_299__T1","H1",1.21304357767437,3.36370679161505,1.53738959491119,7.35956807396685,0.00239226079550398,0.00410916055241245,6484,249,154160360.218869,"Joint category reference: UACR <30 mg/g and TT4 tertile T1."
"cardiovascular_mortality","JOINT_CATEGORY","JOINT_CATEGORYUACR_30_299__T2","H1",1.38740647220721,4.00445091884864,1.62504022456174,9.86783398902782,0.00256822534525778,0.00410916055241245,6484,249,154160360.218869,"Joint category reference: UACR <30 mg/g and TT4 tertile T1."
"cardiovascular_mortality","JOINT_CATEGORY","JOINT_CATEGORYUACR_30_299__T3","H1",1.22030302035171,3.38821427596343,1.64954200100479,6.9595051067809,0.000891078167384916,0.00237620844635978,6484,249,154160360.218869,"Joint category reference: UACR <30 mg/g and TT4 tertile T1."
"cardiovascular_mortality","JOINT_CATEGORY","JOINT_CATEGORYUACR_ge300__T1","H1",1.41867138629418,4.1316274551675,1.00825735790767,16.9305438680043,0.0486749922046855,0.0648999896062474,6484,249,154160360.218869,"Joint category reference: UACR <30 mg/g and TT4 tertile T1."
"cardiovascular_mortality","JOINT_CATEGORY","JOINT_CATEGORYUACR_ge300__T2","H1",2.79665618267988,16.3897507087525,5.26387430042237,51.0316001036535,1.39223105696625e-06,1.113784845573e-05,6484,249,154160360.218869,"Joint category reference: UACR <30 mg/g and TT4 tertile T1."
"cardiovascular_mortality","JOINT_CATEGORY","JOINT_CATEGORYUACR_ge300__T3","H1",2.05777747406354,7.82855130263095,2.37816796257845,25.7703477896814,0.000711356961523049,0.00237620844635978,6484,249,154160360.218869,"Joint category reference: UACR <30 mg/g and TT4 tertile T1."
"cardiovascular_mortality","JOINT_CATEGORY","JOINT_CATEGORYUACR_lt30__T2","Full",0.390636973499054,1.47792189120216,0.824569985288789,2.64896025257285,0.189487291733763,0.189487291733763,6484,249,154160360.218869,"Joint category reference: UACR <30 mg/g and TT4 tertile T1."
"cardiovascular_mortality","JOINT_CATEGORY","JOINT_CATEGORYUACR_lt30__T3","Full",0.633687388528214,1.88454683945865,0.814410199168314,4.36084517819206,0.138765413328754,0.158589043804291,6484,249,154160360.218869,"Joint category reference: UACR <30 mg/g and TT4 tertile T1."
"cardiovascular_mortality","JOINT_CATEGORY","JOINT_CATEGORYUACR_30_299__T1","Full",1.01582862644981,2.76165082645322,1.21483134987138,6.2780033525289,0.0153311255774861,0.0245298009239777,6484,249,154160360.218869,"Joint category reference: UACR <30 mg/g and TT4 tertile T1."
"cardiovascular_mortality","JOINT_CATEGORY","JOINT_CATEGORYUACR_30_299__T2","Full",1.12863709515364,3.09144028867816,1.44267170122241,6.6245168948449,0.00370171831531586,0.0138019553105771,6484,249,154160360.218869,"Joint category reference: UACR <30 mg/g and TT4 tertile T1."
"cardiovascular_mortality","JOINT_CATEGORY","JOINT_CATEGORYUACR_30_299__T3","Full",0.844373399335145,2.32651955904351,1.26084299375949,4.29291615641441,0.00690097765528857,0.0138019553105771,6484,249,154160360.218869,"Joint category reference: UACR <30 mg/g and TT4 tertile T1."
"cardiovascular_mortality","JOINT_CATEGORY","JOINT_CATEGORYUACR_ge300__T1","Full",1.39329385278352,4.02809618143907,0.968465278372968,16.7538880425152,0.055373024738819,0.0738306996517587,6484,249,154160360.218869,"Joint category reference: UACR <30 mg/g and TT4 tertile T1."
"cardiovascular_mortality","JOINT_CATEGORY","JOINT_CATEGORYUACR_ge300__T2","Full",2.19061733306764,8.94073082017666,3.14944512109593,25.381190821017,3.87089638075519e-05,0.000309671710460415,6484,249,154160360.218869,"Joint category reference: UACR <30 mg/g and TT4 tertile T1."
"cardiovascular_mortality","JOINT_CATEGORY","JOINT_CATEGORYUACR_ge300__T3","Full",1.50140565615919,4.48799321387445,1.5190617559953,13.2595551222905,0.00659879847090225,0.0138019553105771,6484,249,154160360.218869,"Joint category reference: UACR <30 mg/g and TT4 tertile T1."
